hwjcknre2020-05-25/16:07:26		log_message
2020-06-02/01:38:44		Table creation Completed!!
2020-06-02/01:38:44		Insertion of Data into Table started!!!!
2020-06-02/01:38:47		Insertion in Table completed!!!
2020-06-02/01:38:47		Deleting Good Data Folder!!!
2020-06-02/01:38:47		Good_Data folder deleted!!!
2020-06-02/01:38:47		Moving bad files to Archive and deleting Bad_Data folder!!!
2020-06-02/01:38:47		Bad files moved to archive!! Bad folder Deleted!!
2020-06-02/01:38:47		Validation Operation completed!!
2020-06-02/01:38:47		Extracting csv file from table
2020-06-13/17:27:13		Start of Validation on files for Training
2020-06-13/17:27:16		Raw Data Validation Complete!!
2020-06-13/17:27:16		Starting Data Transforamtion!!
2020-06-13/17:27:18		DataTransformation Completed!!!
2020-06-13/17:27:18		Creating Training_Database and tables on the basis of given schema!!!
2020-06-13/17:27:18		Table creation Completed!!
2020-06-13/17:27:18		Insertion of Data into Table started!!!!
2020-06-13/17:27:23		Insertion in Table completed!!!
2020-06-13/17:27:23		Deleting Good Data Folder!!!
2020-06-13/17:27:23		Good_Data folder deleted!!!
2020-06-13/17:27:23		Moving bad files to Archive and deleting Bad_Data folder!!!
2020-06-13/17:27:23		Bad files moved to archive!! Bad folder Deleted!!
2020-06-13/17:27:23		Validation Operation completed!!
2020-06-13/17:27:23		Extracting csv file from table
2020-06-13/17:30:47		Start of Validation on files for Training
2020-06-13/17:30:49		Raw Data Validation Complete!!
2020-06-13/17:30:49		Starting Data Transforamtion!!
2020-06-13/17:30:50		DataTransformation Completed!!!
2020-06-13/17:30:50		Creating Training_Database and tables on the basis of given schema!!!
2020-06-13/17:30:50		Table creation Completed!!
2020-06-13/17:30:50		Insertion of Data into Table started!!!!
2020-06-13/17:30:53		Insertion in Table completed!!!
2020-06-13/17:30:53		Deleting Good Data Folder!!!
2020-06-13/17:30:53		Good_Data folder deleted!!!
2020-06-13/17:30:53		Moving bad files to Archive and deleting Bad_Data folder!!!
2020-06-13/17:30:53		Bad files moved to archive!! Bad folder Deleted!!
2020-06-13/17:30:53		Validation Operation completed!!
2020-06-13/17:30:53		Extracting csv file from table
